"season","prob1","prob2","prob3","factor","seePen"
NA,NA,NA,NA,NA,NA
"A",0.612524938057357,0.483845831109666,0.600605771302112,0.8,0.035
"B",0.63990441978764,0.575337749339191,0.648690379604636,0.8,0.035
"C",0.644558313842276,0.57770149113313,0.78170530494013,0.8,0.035
"D",0.595421831385384,0.556990033507347,0.690211121975766,0.8,0.035
"E",0.624896634915207,0.562625688076089,0.635473157669255,0.8,0.035
"F",0.624189180687838,Inf,0.636934056286473,0.8,0.035
"G",0.648744250502096,Inf,0.727420450577809,0.8,0.035
"H",0.644382268107698,0.522433404587005,0.622301305817008,0.8,0.035
"I",0.629668460293909,0.505289948844547,0.602222617505729,0.8,0.035
"J",0.604348294979802,0.513753901084681,0.599626007858174,0.8,0.035
"K",0.636047941050276,0.575541726882016,0.691405462352084,0.8,0.035
"L",0.593366230645891,0.395136559188561,0.372457433291081,0.8,0.035
"M",0.582719744334557,0.48176419074197,0.587806459066601,0.8,0.035
"N",0.62594691114363,0.486027341557292,0.543397383536681,0.8,0.035
"O",0.631867666409338,0.553382436848848,0.643070860916532,0.8,0.035
"P",0.654806173571489,Inf,0.835494453628718,0.8,0.035
"Q",0.638738476686813,Inf,0.721494493601656,0.8,0.035
"R",0.633874202569748,Inf,0.871244747947396,0.8,0.035
