"season","prob1","prob2","prob3","factor","seePen"
NA,NA,NA,NA,NA,NA
"A",0.612524938057357,0.49569902412717,0.467706569988702,0.8,0.025
"B",0.63990441978764,0.548825702767618,0.620134185208291,0.8,0.025
"C",0.644558313842276,0.561581950285082,0.711680741001661,0.8,0.025
"D",0.595421831385384,0.533488284291446,0.550071344504769,0.8,0.025
"E",0.624896634915207,0.548682857492882,0.601590013795061,0.8,0.025
"F",0.624189180687838,0.545084791546827,0.656146453538304,0.8,0.025
"G",0.648744250502096,0.578262196724688,0.588066033218368,0.8,0.025
"H",0.644382268107698,0.530136223675611,0.508057443346261,0.8,0.025
"I",0.629668460293909,0.512895717359944,0.586750569393556,0.8,0.025
"J",0.604348294979802,0.505783424707959,0.534971056245272,0.8,0.025
"K",0.636047941050276,0.554663225518189,0.629089365272467,0.8,0.025
"L",0.593366230645891,0.43178147463555,0.414657593644127,0.8,0.025
"M",0.582719744334557,0.48041311464567,0.501732989856859,0.8,0.025
"N",0.62594691114363,0.502425388439032,0.477974365845212,0.8,0.025
"O",0.631867666409338,0.541091910601979,0.601145842893003,0.8,0.025
"P",0.654806173571489,0.607087687547133,0.657580746938315,0.8,0.025
"Q",0.638738476686813,Inf,0.628908691869696,0.8,0.025
"R",0.633874202569748,0.596532544561245,0.697126622373421,0.8,0.025
